iteration,epsilon_min,alpha,best_fitness,mean_fitness,std_fitness
1,0.016371925871169556,1.2324231419749836,15.558790421586945,15.63589097663866,0.06549260936607398
2,0.009064444042187928,1.987240242535974,15.562183429791936,15.656076882532364,0.06031345658564578
3,0.01748077480161545,1.967311677437523,15.56230636651772,15.642367036154743,0.0639958875464442
4,0.014253046647884259,1.2716484918694626,15.56288572116825,15.642973854634212,0.06383144644865561
5,0.0020692060219431796,1.8610677531077275,15.563280491871012,15.623527411775054,0.0644376010426083
6,0.0017556276713168858,1.2216508634306467,15.552078087784066,15.648142254984984,0.06363945143364592
7,0.005798929989620556,1.9938330676804683,15.562144446881415,15.636084189377897,0.06490718660178565
8,0.007851948354211935,1.985754877469476,15.5621969189007,15.623460767754755,0.06487683417384567
9,0.007504109631341216,1.257673142837815,15.561966586450641,15.629667530421134,0.06545021301356783
10,0.011097207209421516,1.898427527900851,15.562884274097023,15.649832671885482,0.0621621451973905
11,0.01866801876924137,1.245651648737572,15.562011457071643,15.62975494546221,0.06545952422543858
12,0.019440543364199724,1.208593672186613,15.552017563743949,15.63538012079376,0.06559021131513934
13,0.014640545931712184,1.2473388989010137,15.562038559706007,15.63597397794526,0.06543353122711443
14,0.01953988423046386,1.256453300235614,15.562144185592754,15.630143344775735,0.06507304359655798
15,0.006396404338863417,1.2803774432141277,15.563169675039397,15.642899495936039,0.06333726157957775
16,0.011048691741114513,1.2197190543367746,15.554427368335194,15.648351775637376,0.0638972832769908
17,0.0024816466921377773,1.242298924851898,15.558782120675058,15.655692132465333,0.06020774001403272
18,0.0015971080982649022,1.977955411015908,15.562269302023022,15.649621356838091,0.06218477210843574
19,0.01621224734944073,1.2883951803310552,15.564856743799218,15.63665059846148,0.0641298184477282
20,0.011021507001361053,1.250842742735583,15.562010974855724,15.636593066951619,0.06489436429405399
21,0.014922661208906802,1.959474231060847,15.562371341445392,15.617492581733924,0.0647313680473292
22,0.003608622149139067,1.224046321286619,15.553778132579694,15.629042242676885,0.06642104332360034
23,0.011496258356107333,1.9316589515960643,15.56259927010817,15.636595026000407,0.06460546006006972
24,0.018600512978303032,1.900271390006782,15.562839099398037,15.655741979744864,0.06002138131729756
25,0.01707349658685574,1.2282170548667883,15.55795789672906,15.649180992796934,0.06248881536746638
26,0.018129760408557877,1.2110753304911772,15.552465750972651,15.64792004924468,0.06450034731604794
27,0.009319440907637151,1.2137418496373569,15.551011549836456,15.642189478796615,0.06493960179299627
28,0.015308575214132456,1.2509232858629566,15.561972155099943,15.642355541315151,0.06463748079233286
29,0.0191171930333417,1.238957143940171,15.561483995489626,15.623502590415379,0.06526601679496458
30,0.0025033624912921054,1.2144150411984824,15.544627806184106,15.635401791790517,0.0663335800729719
