controller_name,disturbance_type,settling_time,max_overshoot,recovery_time,control_effort_nominal,control_effort_disturbed,control_effort_increase_pct,robustness_index,converged
classical_smc,step,10.0,187.34770946954512,10.0,7.555446150403558,12.42020515926146,64.38744862999337,1.0,False
classical_smc,impulse,10.0,187.71111548678422,10.0,7.555446150403558,7.295942707120202,-3.434654130510828,1.0,False
classical_smc,sinusoidal,10.0,226.18164629228968,10.0,7.555446150403558,12.020375289809392,59.09550608295117,1.0,False
classical_smc,random,10.0,215.89910996774924,10.0,7.555446150403558,8.565235705086204,13.365055280404718,1.0,False
sta_smc,step,10.0,269.28257431175257,10.0,20.0,12.649110640673518,-36.75444679663241,1.0,False
sta_smc,impulse,10.0,269.28257431175257,10.0,20.0,19.917329138215294,-0.4133543089235303,1.0,False
sta_smc,sinusoidal,10.0,399.6708616264215,10.0,20.0,20.784609690826528,3.9230484541326405,1.0,False
sta_smc,random,10.0,276.7255405628166,10.0,20.0,20.24547216537963,1.2273608268981633,1.0,False
adaptive_smc,step,10.0,267.65662124099174,10.0,19.983329300347076,12.62273543753928,-36.83367146774665,1.0,False
adaptive_smc,impulse,10.0,267.65662124099174,10.0,19.983329300347076,19.90058918540127,-0.41404569630131577,1.0,False
adaptive_smc,sinusoidal,10.0,418.28530715693853,10.0,19.983329300347076,20.769109837662715,3.9321802964133226,1.0,False
adaptive_smc,random,10.0,259.84675112824107,10.0,19.983329300347076,20.254577609935204,1.3573729657921094,1.0,False
hybrid_adaptive_sta_smc,step,10.0,625.1989013125764,10.0,4.183137291601027,9.874139841038467,136.04627705774632,1.0,False
hybrid_adaptive_sta_smc,impulse,10.0,616.8674476300167,10.0,4.183137291601027,5.23437079316924,25.13026535559559,1.0,False
hybrid_adaptive_sta_smc,sinusoidal,10.0,720.3837961972124,10.0,4.183137291601027,6.988035921884356,67.0525119009374,1.0,False
hybrid_adaptive_sta_smc,random,10.0,705.2934362332392,10.0,4.183137291601027,5.37903574563821,28.58855377370299,1.0,False
